,ctx_item_id,arima_orer,seasonal_order,aic,arima_order_p,arima_order_d,arima_order_q,seasonal_order_p,seasonal_order_d,seasonal_order_q,seasonal_order_m
874,HOBBIES_1_233,"(5, 0, 0)","(0, 0, 0, 12)",622.1432028957377,5.0,0.0,0.0,0.0,0.0,0.0,12.0
875,HOBBIES_1_353,"(3, 0, 0)","(1, 0, 0, 12)",325.88217221326187,3.0,0.0,0.0,1.0,0.0,0.0,12.0
876,HOBBIES_1_373,"(3, 1, 0)","(0, 0, 0, 12)",197.56505548649298,3.0,1.0,0.0,0.0,0.0,0.0,12.0
877,HOBBIES_1_374,"(4, 0, 0)","(0, 0, 0, 12)",262.8646289131028,4.0,0.0,0.0,0.0,0.0,0.0,12.0
878,HOBBIES_1_379,"(2, 0, 0)","(0, 0, 1, 12)",493.1630456586523,2.0,0.0,0.0,0.0,0.0,1.0,12.0
879,HOBBIES_1_394,"(2, 0, 0)","(0, 0, 0, 12)",299.5082318679805,2.0,0.0,0.0,0.0,0.0,0.0,12.0
880,HOBBIES_2_024,"(0, 0, 0)","(0, 1, 0, 12)",51.02281869891435,0.0,0.0,0.0,0.0,1.0,0.0,12.0
881,HOBBIES_2_033,"(5, 1, 1)","(0, 0, 0, 12)",483.0674643251273,5.0,1.0,1.0,0.0,0.0,0.0,12.0
882,HOUSEHOLD_1_025,"(3, 0, 0)","(0, 0, 1, 12)",391.33604672125193,3.0,0.0,0.0,0.0,0.0,1.0,12.0
883,HOUSEHOLD_1_061,"(1, 0, 2)","(0, 0, 0, 12)",351.1543946102275,1.0,0.0,2.0,0.0,0.0,0.0,12.0
884,HOUSEHOLD_1_079,"(1, 0, 0)","(0, 0, 0, 12)",291.17956124770996,1.0,0.0,0.0,0.0,0.0,0.0,12.0
885,HOUSEHOLD_1_107,"(1, 0, 0)","(1, 0, 0, 12)",361.2893739347222,1.0,0.0,0.0,1.0,0.0,0.0,12.0
886,HOUSEHOLD_1_121,"(1, 0, 1)","(0, 1, 0, 12)",176.9662726461691,1.0,0.0,1.0,0.0,1.0,0.0,12.0
887,HOUSEHOLD_1_138,"(5, 0, 0)","(0, 0, 0, 12)",488.59987059861766,5.0,0.0,0.0,0.0,0.0,0.0,12.0
888,HOUSEHOLD_1_164,"(1, 0, 2)","(0, 1, 0, 12)",10.0,1.0,0.0,2.0,0.0,1.0,0.0,12.0
889,HOUSEHOLD_1_190,"(2, 0, 2)","(0, 1, 0, 12)",12.0,2.0,0.0,2.0,0.0,1.0,0.0,12.0
